# Energy	Aggregated during	Calculated after	Total
0.915	0.000277464595848996	4.23852590771797e-08	0.000277506981108073
0.9175	0.000223560823847436	3.86043372910437e-08	0.000223599428184727
0.92	0.000185286775894662	2.36332686979978e-08	0.00018531040916336
0.9225	0.000162097778606343	1.02103333438997e-07	0.000162199881939782
0.925	0.000152851716712675	-1.63781705862854e-07	0.000152687935006812
0.9275	0.000156031095864588	1.07096561465337e-08	0.000156041805520735
0.93	0.00016998620432633	2.14650668522737e-07	0.000170200854994853
0.9325	0.000193160126851876	6.52081644066383e-08	0.000193225335016283
0.935	0.00022425423526322	-1.1542012440765e-07	0.000224138815138812
0.9375	0.000262309041709127	8.12266718043904e-08	0.000262390268380931
0.94	0.000306690076573172	1.9824061850015e-07	0.000306888317191673
0.9425	0.00035698695982728	-8.70482849163795e-08	0.000356899911542363
0.945	0.000412847747544579	-3.72328866265597e-08	0.000412810514657952
0.9475	0.00047379008738226	-6.16540725804567e-08	0.000473728433309679
0.95	0.000539022930684963	-8.85995620415241e-08	0.000538934331122922
0.9525	0.000607323035370997	8.85362550312926e-09	0.000607331888996501
0.955	0.000676992103703421	-1.75800511328176e-08	0.000676974523652289
0.9575	0.000745909552198381	1.79852002474652e-08	0.000745927537398629
0.96	0.000811671764574092	1.91352559520171e-08	0.000811690899830044
0.9625	0.000871803858629701	9.33803822909826e-09	0.00087181319666793
0.965	0.000924003379660408	7.08920461795058e-08	0.000924074271706588
0.9675	0.000966378020969946	6.09168820579053e-09	0.000966384112658152
0.97	0.000997638464305343	-1.86989833368781e-07	0.000997451474471974
0.9725	0.00101721019580725	-1.07100259642771e-07	0.0010171030955476
0.975	0.00102525220321561	3.45677748488618e-08	0.00102528677099046
0.9775	0.00102257523734606	1.69878016772845e-08	0.00102259222514774
0.98	0.00101047819991483	-3.53393858705746e-09	0.00101047466597624
0.9825	0.000990529726378084	6.62884244518554e-08	0.000990596014802536
0.985	0.000964335253362867	-2.03461602190963e-07	0.000964131791760676
0.9875	0.000933322819256455	-9.80522440098892e-09	0.000933313014032054
0.99	0.000898586819435998	-1.19847808525899e-07	0.000898466971627473
0.9925	0.000860808920118982	2.97081918615475e-08	0.000860838628310844
0.995	0.000820265409538027	5.90729395530777e-08	0.00082032448247758
0.9975	0.000776914311449676	5.26514784391244e-09	0.00077691957659752
1	0.000730540826144657	3.26483278218989e-08	0.000730573474472479
