# Energy	DeltaT=25	DeltaT=50	DeltaT=100	DeltaT=150	DeltaT=200	DeltaT=300	
0.4585	0.00651504667360464	0.00651817201325691	0.00651817257706215	0.00651815330932653	0.00651819990963851	0.00651823062300406
0.461	0.00519444234519858	0.00519730192632035	0.00519729750753539	0.00519727815199858	0.0051973258259021	0.00519735958133029
0.4635	0.00467563179719292	0.00467824829814353	0.00467823921848148	0.00467821997417907	0.00467826887716782	0.00467830451510821
0.466	0.00481154477851151	0.00481394275167007	0.00481392905394824	0.00481391012039522	0.00481396023077458	0.00481399657833432
0.4685	0.00546123118298528	0.00546343495905009	0.0054634166466305	0.00546339827655964	0.00546344942674286	0.00546348534339967
0.471	0.00649055650840216	0.00649258774088204	0.00649256504613009	0.00649254756982577	0.0064925994465907	0.0064926339878024
0.4735	0.00778984780598929	0.00779172519029544	0.00779169855606584	0.00779168232967899	0.00779173442333803	0.00779176710042605
0.476	0.00927512586795896	0.00927686522643644	0.00927683523594361	0.00927682064989653	0.00927687228572033	0.00927690309561764
0.4785	0.0108706633648218	0.0108722778712709	0.0108722451332325	0.0108722326363069	0.0108722830782078	0.0108723123762873
0.481	0.0125109959305042	0.0125124957991198	0.012512460866308	0.0125124509781847	0.0125124994367582	0.0125125279419819
0.4835	0.0141659610846521	0.0141673535011262	0.0141673167693979	0.0141673100780101	0.0141673557543859	0.0141673845581461
0.486	0.0158252305217357	0.0158265198221772	0.0158264815467752	0.0158264786826799	0.0158265208488311	0.0158265512922364
0.4885	0.0174785916526052	0.0174797800212064	0.0174797402850693	0.0174797418842085	0.0174797799091505	0.0174798135142989
0.491	0.0191189505694787	0.0191200405545453	0.0191199990958432	0.0191200057007035	0.0191200391184197	0.0191200774043894
0.4935	0.0207605434721434	0.0207615386119943	0.0207614947511717	0.0207615068268472	0.0207615354104054	0.0207615796898069
0.496	0.0224241767848423	0.0224250815994195	0.0224250342376856	0.0224250522004608	0.0224250759895731	0.0224251272349149
0.4985	0.0241230217670566	0.0241238417635536	0.0241237894927289	0.0241238136919104	0.024123832956696	0.0241238918197568
0.501	0.0258639139658053	0.0258646557641527	0.0258645969836634	0.025864627668644	0.0258646428775466	0.0258647096969607
0.5035	0.0276396778513433	0.0276403493779391	0.0276402824509489	0.0276403197218731	0.0276403315371933	0.0276404062291896
0.506	0.029418171400987	0.0294187816085074	0.0294187050168214	0.0294187488222878	0.0294187580594963	0.0294188400465193
0.5085	0.031162473485909	0.0311630321139496	0.0311629445004634	0.031162994665259	0.0311630022475057	0.0311630904955437
0.511	0.0328401803757006	0.0328406968841399	0.0328405971755029	0.032840653413083	0.0328406603213023	0.0328407534655131
0.5135	0.0344108918014871	0.0344113740571129	0.0344112616729155	0.0344113236075924	0.0344113308026211	0.0344114272631271
0.516	0.0358086410765797	0.0358090952850241	0.0358089702778245	0.0358090374179076	0.0358090457832759	0.0358091437912259
0.5185	0.0369627757481365	0.0369632065046856	0.0369630695755314	0.0369631412904519	0.0369631516125531	0.0369632492551534
0.521	0.0378153683961353	0.0378157788749113	0.0378156312782603	0.0378157067975405	0.0378157197531333	0.0378158150600301
0.5235	0.0383132629732748	0.0383136550124935	0.0383134984986242	0.0383135769543523	0.0383135931084834	0.0383136841007134
0.526	0.0384146668711307	0.0384150410698775	0.0384148777986439	0.0384149582774017	0.0384149780315293	0.0384150628739885
0.5285	0.0380984244748364	0.0380987804375022	0.0380986128559221	0.0380986943793741	0.0380987179589487	0.0380987951042727
0.531	0.0373481743701117	0.0373485108505907	0.0373483416398857	0.0373484231600256	0.03734845062408	0.0373485188286065
0.5335	0.0361551809473378	0.0361554965954241	0.0361553284973657	0.0361554089652801	0.0361554402207648	0.0361554985055373
0.536	0.0345396668373659	0.034539960719956	0.0345397963172941	0.034539874741824	0.0345399095442182	0.0345399572929882
0.5385	0.0325516516135352	0.0325519232385831	0.0325517648192683	0.0325518403119557	0.0325518782660767	0.0325519153394864
0.541	0.0302459096796497	0.030246159002813	0.0302460085407897	0.0302460803375297	0.0302461209088056	0.0302461476159804
0.5435	0.0276747198870987	0.0276749473138519	0.0276748064684634	0.0276748739483844	0.0276749164875699	0.0276749334973557
0.546	0.024902686531895	0.0249028928727101	0.0249027629199302	0.0249028256029988	0.0249028693610307	0.0249028776983297
0.5485	0.0220165135481543	0.0220166999823846	0.0220165817197222	0.0220166392972511	0.0220166834934302	0.0220166844820999
0.551	0.0191054644497677	0.019105632435055	0.0191055261984854	0.0191055785688842	0.0191056224552644	0.0191056175795927
0.5535	0.0162557572385709	0.0162559084527902	0.0162558141478397	0.01625586140997	0.0162559042832764	0.0162558951488984
0.556	0.0135412915173166	0.0135414276195834	0.0135413448154944	0.0135413871998278	0.0135414284204815	0.0135414166840221
0.5585	0.0110207099767214	0.0110208325088095	0.0110207605087313	0.0110207983256436	0.0110208373756406	0.011020824590703
0.561	0.00874350987412447	0.00874362026824552	0.0087435581279084	0.00874359176281588	0.00874362827842309	0.00874361578372128
0.5635	0.00675416611479707	0.00675426568405708	0.00675421223585454	0.00675424214285627	0.00675427590907192	0.00675426482703423
0.566	0.00508927376878453	0.00508936369301697	0.00508931760309071	0.00508934428912577	0.00508937522257578	0.00508936647881303
0.5685	0.00376918877719672	0.00376927015552165	0.00376923002233808	0.00376925401217904	0.00376928216971165	0.00376927644605392
0.571	0.00278478901266006	0.0027848628824227	0.00278482735650008	0.0027848491468489	0.00278487471208402	0.00278487238652601
0.5735	0.00211327982391396	0.00211334718682242	0.00211331499621524	0.00211333506786707	0.00211335828679234	0.0021133594834613
0.576	0.00173129539336559	0.00173135723507568	0.00173132717992068	0.00173134600964765	0.00173136717051025	0.00173137178772514
0.5785	0.00161620001486974	0.00161625731839136	0.00161622827080907	0.00161624635046291	0.00161626576980522	0.00161627353430629
0.581	0.00173587896367673	0.00173593264349431	0.00173590359569495	0.00173592144257813	0.00173593941990724	0.00173594995702836
0.5835	0.00204844583730243	0.00204849670849672	0.00204846682454124	0.00204848495643165	0.00204850175070426	0.0020485146300813
0.586	0.00251225828262103	0.0025123070664108	0.00251227567740547	0.00251229460778877	0.00251231043963633	0.00251232518588881
0.5885	0.00309055351233915	0.00309060086737865	0.00309056742716687	0.00309058766715642	0.0030906027321555	0.00309061883825714
0.591	0.00374894082343696	0.00374898732713435	0.00374895137233125	0.00374897344782232	0.00374898790833281	0.0037490048653328
0.5935	0.00445897573814159	0.00445902185722729	0.00445898297820309	0.0044590074302564	0.00445902139666468	0.00445903877010977
0.596	0.00519522936333806	0.00519527544278908	0.00519523329363398	0.00519526062112185	0.00519527417101771	0.00519529162764035
0.5985	0.00593203196812879	0.00593207822815496	0.0059320325342213	0.00593206316198824	0.00593207635482463	0.00593209365636689
0.601	0.00664539508927475	0.00664544163137318	0.00664539218220425	0.00664542646734367	0.0066454393499011	0.00664545633133995
0.6035	0.00732102079418761	0.00732106768582256	0.00732101430536645	0.00732105253306909	0.00732106515098249	0.00732108171780222
0.606	0.00795521824183383	0.00795526554442096	0.00795520805877873	0.00795525044369577	0.00795526285129899	0.00795527899241423
0.6085	0.00854601063526789	0.00854605840731025	0.00854599664232527	0.00854604332969045	0.00854605559065421	0.00854607137451475
0.611	0.00909043341259281	0.00909048170053334	0.00909041550535064	0.00909046657125234	0.00909047875039117	0.00909049430708262
0.6135	0.00958730247562684	0.00958735131443476	0.00958728057653615	0.00958733602253191	0.00958734817865069	0.0095873636922265
